124530000	124530000	399.0
112180000	112180000	359.0
68210000	68210000	505.0
67680000	67680000	405.0
86700000	86700000	551.0
119290000	119290000	489.0
59830000	59830000	444.0
6110000	6110000	526.0
131880000	131880000	397.0
122290000	122290000	471.0
97450000	97450000	613.0
95180000	95180000	356.0
70920000	70920000	442.0
110140000	110140000	505.0
89020000	89020000	394.0
80050000	80050000	502.0
77160000	77160000	381.0
59240000	59240000	310.0
23990000	23990000	292.0
15250000	15250000	602.0
7880000	7880000	537.0
91290000	91290000	491.0
80380000	80380000	560.0
34660000	34660000	398.0
22990000	22990000	266.0
21080000	21080000	379.0
11790000	11790000	636.0
7260000	7260000	566.0
77500000	77500000	451.0
17600000	17600000	493.0
8720000	8720000	586.0
6100000	6100000	523.0
580000	580000	398.0
100300000	100300000	519.0
99610000	99610000	434.0
77840000	77840000	388.0
42870000	42870000	386.0
42870000	42870000	386.0
26330000	26330000	301.0
4660000	4660000	336.0
122560000	122560000	401.0
114880000	114880000	596.0
112130000	112130000	641.0
100760000	100760000	428.0
96390000	96390000	461.0
72370000	72370000	471.0
72130000	72130000	449.0
63860000	63860000	359.0
58180000	58180000	392.0
11110000	11110000	546.0
5940000	5940000	641.0
2930000	2930000	556.0
113800000	113800000	435.0
102830000	102830000	550.0
80260000	80260000	465.0
35240000	35240000	654.0
29240000	29240000	305.0
24370000	24370000	370.0
6220000	6220000	810.0
72360000	72360000	557.0
45250000	45250000	413.0
29730000	29730000	483.0
28680000	28680000	488.0
103110000	103110000	288.0
93110000	93110000	389.0
70760000	70760000	547.0
14950000	14950000	537.0
120220000	120220000	276.0
112320000	112320000	579.0
101600000	101600000	552.0
93910000	93910000	433.0
93910000	93910000	433.0
88830000	88830000	424.0
52640000	52640000	253.0
48360000	48360000	264.0
26720000	26720000	351.0
21270000	21270000	619.0
12720000	12720000	462.0
117500000	117500000	474.0
103240000	103240000	436.0
96640000	96640000	428.0
57710000	57710000	375.0
52640000	52640000	253.0
4530000	4530000	482.0
122340000	122340000	411.0
119680000	119680000	466.0
88930000	88930000	342.0
72700000	72700000	492.0
71310000	71310000	554.0
34830000	34830000	626.0
8080000	8080000	665.0
128270000	128270000	353.0
115350000	115350000	253.0
114550000	114550000	306.0
94080000	94080000	389.0
90760000	90760000	409.0
74120000	74120000	453.0
59240000	59240000	310.0
23160000	23160000	382.0
9080000	9080000	569.0
3240000	3240000	518.0
123140000	123140000	575.0
123040000	123040000	362.0
112900000	112900000	663.0
107540000	107540000	249.0
82800000	82800000	377.0
60320000	60320000	351.0
42860000	42860000	328.0
25110000	25110000	456.0
15720000	15720000	411.0
120420000	120420000	477.0
96010000	96010000	352.0
91000000	91000000	473.0
90910000	90910000	383.0
73650000	73650000	560.0
63160000	63160000	342.0
33010000	33010000	405.0
8070000	8070000	541.0
129030000	129030000	330.0
122290000	122290000	471.0
75100000	75100000	637.0
62610000	62610000	501.0
32070000	32070000	761.0
29130000	29130000	386.0
17840000	17840000	333.0
7520000	7520000	508.0
116680000	116680000	480.0
115170000	115170000	285.0
113440000	113440000	262.0
109880000	109880000	476.0
60440000	60440000	351.0
30750000	30750000	571.0
28660000	28660000	534.0
22570000	22570000	430.0
8870000	8870000	433.0
132650000	132650000	370.0
114300000	114300000	503.0
60820000	60820000	284.0
49320000	49320000	580.0
46280000	46280000	311.0
35630000	35630000	402.0
25750000	25750000	388.0
8870000	8870000	433.0
3460000	3460000	573.0
125980000	125980000	409.0
124530000	124530000	399.0
99840000	99840000	547.0
97070000	97070000	481.0
89790000	89790000	320.0
48660000	48660000	408.0
116790000	116790000	493.0
81680000	81680000	327.0
70460000	70460000	616.0
60440000	60440000	351.0
34530000	34530000	390.0
23990000	23990000	292.0
21990000	21990000	353.0
125980000	125980000	409.0
117850000	117850000	444.0
117500000	117500000	474.0
92210000	92210000	444.0
87850000	87850000	371.0
74260000	74260000	341.0
60450000	60450000	384.0
44510000	44510000	522.0
8060000	8060000	619.0
3240000	3240000	518.0
80690000	80690000	563.0
68070000	68070000	389.0
57330000	57330000	261.0
43680000	43680000	334.0
8070000	8070000	541.0
8050000	8050000	453.0
93820000	93820000	472.0
89790000	89790000	320.0
80140000	80140000	432.0
57710000	57710000	375.0
15420000	15420000	275.0
87860000	87860000	232.0
59630000	59630000	432.0
37980000	37980000	535.0
36890000	36890000	257.0
20860000	20860000	270.0
57710000	57710000	375.0
3200000	3200000	522.0
112970000	112970000	292.0
